adjectives, comparatives	magnus	maior
adjectives, comparatives	bonus	melior
adjectives, comparatives	gravis	gravior
adjectives, comparatives	longus	longior
adjectives, comparatives	miser	miserior
adjectives, comparatives	certus	certior
adjectives, comparatives	altus	altior
adjectives, comparatives	facilis	facilior
adjectives, comparatives	dignus	dignior
adjectives, comparatives	verus	verior
adjectives, comparatives	aequus	aequior
adjectives, comparatives	liber	liberior
adjectives, comparatives	multus	plus
adjectives, comparatives	publicus	publicior
adjectives, comparatives	similis	similior
adjectives, comparatives	parvus	minor
adjectives, comparatives	adulescens	adulescentior